captured_at,method,status,url,host,path,content_type,response_size,duration_ms
2026-08-04T12:02:34.945719+00:00,GET,200,https://checkip.amazonaws.com/,checkip.amazonaws.com,/,text/plain;charset=UTF-8,15,250.40578842163086
2026-08-04T12:02:17.070745+00:00,GET,200,https://checkip.amazonaws.com/,checkip.amazonaws.com,/,text/plain;charset=UTF-8,15,207.94320106506348
2026-08-04T12:03:14.807959+00:00,GET,200,https://checkip.amazonaws.com/,checkip.amazonaws.com,/,text/plain;charset=UTF-8,15,52.3533821105957
2026-08-04T12:03:03.943170+00:00,GET,200,https://checkip.amazonaws.com/,checkip.amazonaws.com,/,text/plain;charset=UTF-8,15,230.79395294189453
2026-08-04T12:02:47.691158+00:00,GET,200,https://checkip.amazonaws.com/,checkip.amazonaws.com,/,text/plain;charset=UTF-8,15,249.66835975646973
2026-08-04T12:03:30.422479+00:00,POST,200,https://github.com/_alive,github.com,/_alive,text/plain; charset=utf-8,202,318.0699348449707
2026-08-04T12:02:12.777513+00:00,POST,200,https://api.github.com/_private/browser/stats,api.github.com,/_private/browser/stats,text/plain,0,214.24221992492676
2026-08-04T12:02:36.926728+00:00,GET,403,https://api.individual.githubcopilot.com/agents/swe/v1/jobs/zcampy/StreamInspector/enabled,api.individual.githubcopilot.com,/agents/swe/v1/jobs/zcampy/StreamInspector/enabled,text/plain; charset=utf-8,37,932.7874183654785
2026-08-04T12:07:08.336855+00:00,GET,200,https://checkip.amazonaws.com/,checkip.amazonaws.com,/,text/plain;charset=UTF-8,15,267.3017978668213
2026-08-04T12:07:47.944329+00:00,POST,200,https://api.github.com/_private/browser/stats,api.github.com,/_private/browser/stats,text/plain,0,1436.5544319152832
2026-08-04T12:07:48.312992+00:00,GET,200,https://checkip.amazonaws.com/,checkip.amazonaws.com,/,text/plain;charset=UTF-8,15,852.9758453369141
2026-08-04T12:07:48.454774+00:00,POST,200,https://api.github.com/_private/browser/stats,api.github.com,/_private/browser/stats,text/plain,0,341.6907787322998
2026-08-04T12:07:49.315160+00:00,POST,200,https://api.github.com/_private/browser/stats,api.github.com,/_private/browser/stats,text/plain,0,259.7987651824951
2026-08-04T12:07:49.324753+00:00,POST,200,https://api.github.com/_private/browser/stats,api.github.com,/_private/browser/stats,text/plain,0,271.44742012023926
2026-08-04T12:07:46.032111+00:00,GET,200,https://github.com/assets-cdn/worker/service-worker-70fa31535341e395.js?current_user=zcampy&errors_url=https%3A%2F%2Fapi.github.com%2F_private%2Fbrowser%2Ferrors&release=edecf7fc384a458c1055cd3607f3112f6fdff6e7&actor_id=14219175&is_staff=false&analytics_collector_url=https%3A%2F%2Fcollector.github.com%2Fgithub%2Fcollect&module=true,github.com,/assets-cdn/worker/service-worker-70fa31535341e395.js?current_user=zcampy&errors_url=https%3A%2F%2Fapi.github.com%2F_private%2Fbrowser%2Ferrors&release=edecf7fc384a458c1055cd3607f3112f6fdff6e7&actor_id=14219175&is_staff=false&analytics_collector_url=https%3A%2F%2Fcollector.github.com%2Fgithub%2Fcollect&module=true,text/javascript; charset=utf-8,104,385.55121421813965
2026-08-04T12:03:13.215000+00:00,GET,200,https://aichatlounge.com/,aichatlounge.com,/,text/html; charset=utf-8,564,50.13394355773926
2026-08-04T12:02:14.426019+00:00,GET,200,https://www.fctv33hd.fit/,www.fctv33hd.fit,/,text/html; charset=utf-8,20934,36.54885292053223
2026-08-04T12:03:00.557239+00:00,POST,200,https://rm358.com/?z=10739042&syncedCookie=false&rhd=false,rm358.com,/?z=10739042&syncedCookie=false&rhd=false,text/html; charset=utf8,333,95.62087059020996
2026-08-04T12:02:44.604174+00:00,POST,200,https://rm358.com/?z=11264668&syncedCookie=false&rhd=false,rm358.com,/?z=11264668&syncedCookie=false&rhd=false,text/html; charset=utf8,310,112.78247833251953
2026-08-04T12:02:33.123977+00:00,POST,200,https://rm358.com/?z=11498091&syncedCookie=true&rhd=false,rm358.com,/?z=11498091&syncedCookie=true&rhd=false,text/html; charset=utf8,402,135.09559631347656
